id,receivetime,sip,sport,dip,dport,category,severity
78009,2021-09-08 16:53:40,20.62.23.115,44862,20.209.141.240,10022,口令破解,中
78010,2021-09-08 18:53:27,20.62.23.115,50887,20.209.141.240,10022,口令破解,中
78011,2021-09-08 18:53:27,20.62.23.115,50887,20.209.141.240,10022,口令破解,中
78164,2021-09-08 18:42:01,20.211.12.176,57650,20.209.24.116,22,信息泄露,中
78180,2021-09-08 18:40:01,20.211.12.72,54509,20.209.134.245,13306,口令破解,中
78208,2021-09-08 18:36:33,20.211.17.7,51268,20.209.141.31,19100,口令破解,中
78228,2021-09-08 15:21:10,20.211.12.176,54972,20.209.27.175,22,信息泄露,中
78229,2021-09-08 15:21:11,31.75.76.163,35733,20.209.134.104,25,信息泄露,中
78230,2021-09-08 15:21:11,20.62.23.145,53516,20.209.141.240,10022,口令破解,中
78231,2021-09-08 15:30:36,20.211.12.72,58651,20.209.141.97,13306,口令破解,中
78302,2021-09-08 15:34:39,20.211.12.72,46206,35.76.12.45,3306,口令破解,中
78341,2021-09-08 17:23:59,20.209.161.88,2024,20.209.24.85,80,Web应用攻击,低
78462,2021-09-08 18:44:16,20.211.12.72,55143,35.76.12.45,3306,口令破解,中
78463,2021-09-08 18:55:54,20.211.207.122,57391,20.209.134.103,80,违规应用软件,低
78464,2021-09-08 18:55:54,20.211.207.122,57391,20.209.134.103,80,违规应用软件,低
78475,2021-09-08 17:03:46,36.76.141.38,63114,35.76.16.41,13306,口令破解,中
78526,2021-09-08 15:50:00,20.211.12.72,60722,20.209.141.97,13306,口令破解,中
78527,2021-09-08 16:00:02,20.211.12.72,33469,20.209.141.97,13306,口令破解,中
78528,2021-09-08 16:00:08,36.75.111.176,65466,31.76.11.111,22,口令破解,中
78529,2021-09-08 17:17:30,20.209.23.149,57250,20.145.26.74,5000,违规应用软件,低
78530,2021-09-08 17:19:06,35.76.251.211,38802,35.2.251.136,22,信息泄露,中
78536,2021-09-08 18:12:35,20.62.23.176,25992,20.209.29.64,10022,口令破解,中
78537,2021-09-08 18:12:53,20.211.15.250,55662,20.209.125.50,23306,口令破解,中
78538,2021-09-08 18:03:10,31.75.76.163,44328,20.209.134.104,5904,信息泄露,中
78570,2021-09-08 17:31:46,36.76.141.38,53819,35.76.16.41,13306,口令破解,中
78698,2021-09-08 15:21:59,20.211.12.242,60768,20.209.30.197,20001,木马行为,低
78767,2021-09-08 15:32:19,20.211.15.250,45026,20.209.125.50,23306,口令破解,中
78789,2021-09-08 15:19:17,35.76.251.212,38882,35.2.251.136,22,信息泄露,中
78790,2021-09-08 15:29:48,20.209.39.16,63736,35.76.16.190,80,信息泄露,中
78964,2021-09-08 15:19:12,35.76.251.211,54962,35.2.251.136,22,信息泄露,中
78965,2021-09-08 15:30:00,36.76.141.38,64150,35.76.16.41,13306,口令破解,中
79005,2021-09-08 18:22:32,36.76.141.40,55523,35.76.16.41,13306,口令破解,中
79073,2021-09-08 18:04:44,20.211.12.176,54119,20.209.24.116,22,信息泄露,中
79074,2021-09-08 18:14:11,35.76.251.212,34226,35.2.251.136,22,信息泄露,中
79175,2021-09-08 18:02:00,20.211.12.176,53854,20.209.27.177,22,信息泄露,中
79208,2021-09-08 18:57:34,20.62.23.176,35729,20.209.29.64,10022,口令破解,中
79245,2021-09-08 16:47:01,20.211.17.39,65386,20.209.27.122,88,木马行为,低
79246,2021-09-08 16:57:28,20.62.23.176,10083,20.209.29.64,10022,口令破解,中
79279,2021-09-08 16:51:48,20.211.12.176,63564,20.209.27.175,22,信息泄露,中
79346,2021-09-08 16:30:59,20.211.12.176,61583,20.209.27.177,22,信息泄露,中
79347,2021-09-08 16:30:21,20.211.15.251,46710,20.209.137.42,13306,口令破解,中
79348,2021-09-08 16:30:25,20.209.161.88,1486,20.209.24.85,80,Web应用攻击,低
79432,2021-09-08 15:55:01,20.62.23.145,42021,20.209.141.240,10022,木马行为,低
79433,2021-09-08 15:55:22,20.211.12.155,51429,35.76.39.168,3306,口令破解,中
79525,2021-09-08 15:11:38,31.75.76.163,40003,20.209.134.104,5915,信息泄露,中
79526,2021-09-08 15:11:33,20.211.15.240,52376,20.209.134.152,13306,口令破解,中
79527,2021-09-08 15:11:45,31.75.76.163,34661,20.209.134.104,25,信息泄露,中
79528,2021-09-08 15:12:16,20.211.15.250,43753,20.209.125.50,23306,口令破解,中
79545,2021-09-08 18:03:27,20.211.12.72,38892,20.209.141.97,13306,口令破解,中
79579,2021-09-08 15:11:03,20.62.23.145,40792,20.209.141.240,10022,口令破解,中
79580,2021-09-08 18:34:38,20.211.15.241,48064,20.209.134.152,13306,口令破解,中
79581,2021-09-08 18:34:50,20.62.27.186,51833,20.209.134.32,10022,口令破解,中
79582,2021-09-08 18:34:55,20.209.128.228,35648,20.111.64.194,20022,口令破解,中
